import time: self [us] | cumulative | imported package
import time:       181 |        181 |   _io
import time:        21 |         21 |   marshal
import time:       168 |        168 |   posix
import time:       228 |        598 | _frozen_importlib_external
import time:       393 |        393 |   time
import time:        85 |        478 | zipimport
import time:        84 |         84 |     _codecs
import time:       151 |        235 |   codecs
import time:       349 |        349 |   encodings.aliases
import time:       474 |       1056 | encodings
import time:       139 |        139 | encodings.utf_8
import time:        61 |         61 | _signal
import time:        14 |         14 |     _abc
import time:        78 |         91 |   abc
import time:        88 |        178 | io
import time:        27 |         27 |       _stat
import time:        29 |         55 |     stat
import time:       437 |        437 |     _collections_abc
import time:        23 |         23 |       genericpath
import time:        31 |         54 |     posixpath
import time:       172 |        716 |   os
import time:        33 |         33 |   _sitebuiltins
import time:       139 |        139 |   encodings.utf_8_sig
import time:       490 |        490 |   _distutils_hack
import time:       148 |        148 |         types
import time:        44 |         44 |           _operator
import time:       216 |        260 |         operator
import time:       111 |        111 |             itertools
import time:        79 |         79 |             keyword
import time:       105 |        105 |             reprlib
import time:        33 |         33 |             _collections
import time:       470 |        797 |           collections
import time:        26 |         26 |           _functools
import time:       368 |       1190 |         functools
import time:       715 |       2311 |       enum
import time:        41 |         41 |         _sre
import time:       135 |        135 |           re._constants
import time:       204 |        339 |         re._parser
import time:       125 |        125 |         re._casefix
import time:       218 |        722 |       re._compiler
import time:        87 |         87 |       copyreg
import time:       270 |       3388 |     re
import time:       436 |       3824 |   sitecustomize
import time:       878 |       6076 | site
import time:       157 |        157 |   __future__
import time:       176 |        176 |     warnings
import time:       374 |        374 |     gettext
import time:       631 |       1180 |   argparse
import time:       353 |        353 |       _struct
import time:        84 |        437 |     struct
import time:       274 |        274 |     binascii
import time:       157 |        867 |   base64
import time:       124 |        124 |       _weakrefset
import time:       227 |        351 |     weakref
import time:       120 |        471 |   copy
import time:      1948 |       1948 |     _hashlib
import time:       786 |        786 |     _blake2
import time:       146 |       2878 |   hashlib
import time:       299 |        299 |         _json
import time:       176 |        474 |       json.scanner
import time:       235 |        709 |     json.decoder
import time:       185 |        185 |     json.encoder
import time:       132 |       1026 |   json
import time:        89 |         89 |     fnmatch
import time:        38 |         38 |       _winapi
import time:        35 |         35 |       nt
import time:        33 |         33 |       nt
import time:        31 |         31 |       nt
import time:        31 |         31 |       nt
import time:        31 |         31 |       nt
import time:        30 |         30 |       nt
import time:        48 |        273 |     ntpath
import time:        25 |         25 |     errno
import time:        72 |         72 |       urllib
import time:       399 |        399 |       math
import time:       594 |        594 |       ipaddress
import time:       546 |       1610 |     urllib.parse
import time:       405 |       2400 |   pathlib
import time:       702 |       9677 | _wave_gate_golden_corpus
